SNR_dB,QPSK,QAM16,QAM64,QAM256
0,0,0.312026515151515,0.367660984848485,0.405539772727273
2,0,0.271070075757576,0.356060606060606,0.38671875
4,0,0.236742424242424,0.331321022727273,0.372632575757576
6,0,0.209043560606061,0.307173295454545,0.365411931818182
8,0,0.181581439393939,0.293442234848485,0.355823863636364
10,0,0.163352272727273,0.283972537878788,0.346590909090909
12,0,0.140743371212121,0.28420928030303,0.346235795454545
14,0,0.143110795454545,0.273319128787879,0.350497159090909
16,0,0.150331439393939,0.275331439393939,0.338186553030303
18,0,0.140506628787879,0.281486742424242,0.343513257575758
20,0,0.136126893939394,0.27047821969697,0.351680871212121
