SNR_dB,QPSK,QAM16,QAM64,QAM256
0,0.497632575757576,0.507457386363636,0.500828598484849,0.495501893939394
2,0.505208333333333,0.501893939393939,0.497750946969697,0.499881628787879
4,0.504142992424242,0.503551136363636,0.501183712121212,0.495265151515151
6,0.495975378787879,0.510416666666667,0.499289772727273,0.496803977272727
8,0.505326704545455,0.495857007575758,0.50094696969697,0.5
10,0.49514678030303,0.498224431818182,0.505681818181818,0.500591856060606
12,0.497750946969697,0.504379734848485,0.496803977272727,0.492424242424242
14,0.492424242424242,0.498816287878788,0.500828598484849,0.501657196969697
16,0.504498106060606,0.503196022727273,0.51953125,0.510653409090909
18,0.507220643939394,0.496685606060606,0.495265151515151,0.508522727272727
20,0.50295928030303,0.488873106060606,0.501657196969697,0.490648674242424
